KNOWLEDGE BASE	ERROR
ERROR ERROR 3 on service "Astra\demo-vdi-as-cl1" for user " " with transport "RDP" (ip: )	YES
ERROR ERROR 3 on service "Debian Terminal Server\rds000000" for user " " with transport "RDP" (ip: )	YES
ERROR ERROR 1 on service "Astra\demo-vdi-as-cl1" for user " " with transport "RDP" (ip: )	YES
ERROR ERROR 1 on service "Astra\demo-vdi-as-cl1" for user " " with transport "Spice" (ip: )	YES
ERROR ERROR 1 on service "Windows10\demo-vdi-w-cl1" for user " " with transport "RDP" (ip: )	YES
ERROR ERROR 3 on service "Astra\demo-vdi-as-cl0" for user " " with transport "RDP" (ip: )	YES
ERROR ERROR 3 on service "Softline\ :1" for user " " with transport "RemoteApp Chrome" (ip: )	YES
ERROR ERROR 3 on service "Softline\ :3" for user " " with transport "RemoteApp Chrome" (ip: )	YES
ERROR ERROR 3 on service "LenENergo\rds000004" for user " " with transport "RDP" (ip: )	YES
ERROR ERROR 3 on service "Windows Terminal Server\rds000004" for user " " with transport "HTML5 RDP" (ip: )	YES
ERROR config get 148 FATAL: no pg_hba.conf entry for host " ", user " ", database "udsdb", SSL on	YES
ERROR config set 229 Exception	YES
ERROR config get 148 relation "uds_configuration" does not exist	YES
WARNING log log_response 224 Forbidden (CSRF token missing or incorrect.): /uds/page/login	YES
ERROR views guacamole 64 Invalid token vGI0xxYLoth5ZXL8OUkU8ktOAE8mj_d0CHGOvdxTni4Y1i55 from	YES
ERROR reports put 144 Generating report	YES
ERROR __init__ dispatch 211 Error processing request	YES
ERROR log log_response 224 Internal Server Error: /uds/rest/permissions/servicespools/26e13d25-6ff4-5e72-be14-9c965e827c95/groups/add/	YES
INFO authentication checkLogin 156 Invalid form received	YES
ERROR ActiveDirectory authenticate 349 Exception at authenticate	YES
ldap.SERVER_DOWN: {'result': -1, 'desc': "Can't contact LDAP server", 'errno': 110, 'ctrls': [], 'info': 'Connection timed out'}	YES
ldap.SERVER_DOWN: {'result': -1, 'desc': "Can't contact LDAP server", 'errno': 107, 'ctrls': [], 'info': 'Transport endpoint is not connected'}	YES
uds.core.util.ldaputil.LDAPError: Не удаётся связаться с сервером LDAP: {'result': -1, 'desc': "Can't contact LDAP server", 'errno': 107, 'ctrls': [], 'info': 'Transport endpoint is not connected'}	YES
ERROR users_groups getItems 145 En users	YES
uds.core.module.Module.ValidationException: Must use HOST:PORT in Tunnel Server Field	YES
ERROR log log_response 224 Internal Server Error: /uds/rest/transports	YES
ERROR opchecker setError 67 Got error on processor: Fault reason is "Operation Failed". Fault detail is "[Cannot run VM without at least one bootable disk.	YES
ERROR opchecker setError 67 Got error on processor: Machine not found	YES
ERROR modern mfa 264 MFA error: Неправильный код	YES
INFO services enableService 463 Number of service reached MAX for service pool "Fa8965077-91c9-51f9-ac88-ab496de6a639"	YES
ERROR opchecker setError 67 Got error on processor: Not enough free space available: (Needs at least 32 GB and there is only 30.0 GB	YES
ERROR services enableService 469 Error	YES
ERROR log log_response 224 Internal Server Error: /uds/rest/transports/094f0f66-534f-58d3-8dfa-90b097f2b082	YES
ERROR processors processParameters 141 parsing application/json: Expecting value: line 1 column 1 (char 0)	YES
ERROR log log_response 224 Internal Server Error: /uds/rest/auth/login	YES
ERROR config get 148 could not connect to server: Connection refused	YES
ERROR log log_response 224 Internal Server Error: /uds/page/error/17	YES
ERROR config get 148 could not connect to server: No route to host	YES
ERROR 2024-08-30 09:38:20,084 delayed_task_runner executeOneDelayedTask 137 Obtainint one task for execution Traceback (most recent call last)	YES
